date,campaign_id,campaign_name,campaign_type,country_code,cost_micros,impressions,clicks,conversions,headline,description,audience_segment,bidding_strategy
2025-01-06,G-8801,GSN-NA-Brand-Evergreen,SEARCH,US,8450000000,95000,4200,9,monday.com | Official Site | Enterprise Work OS,Trusted by 225K+ organizations. Start your free enterprise trial today.,High-intent brand keywords,Target CPA
2025-01-07,G-8801,GSN-NA-Brand-Evergreen,SEARCH,US,7920000000,89000,3940,8,monday.com | Official Site | Enterprise Work OS,Trusted by 225K+ organizations. Start your free enterprise trial today.,High-intent brand keywords,Target CPA
2025-01-06,G-8802,GSN-NA-NonBrand-PMSoftware,SEARCH,US,12800000000,180000,2700,5,Best Project Management Software 2025 | Free Trial,Enterprise-grade project management. AI-powered workflows. SOC2 compliant.,enterprise project management; work OS; team collaboration platform,Maximize Conversions
2025-01-07,G-8802,GSN-NA-NonBrand-PMSoftware,SEARCH,US,11400000000,162000,2430,4,Best Project Management Software 2025 | Free Trial,Enterprise-grade project management. AI-powered workflows. SOC2 compliant.,enterprise project management; work OS; team collaboration platform,Maximize Conversions
2025-01-06,G-8811,GSN-EMEA-Brand-Evergreen,SEARCH,GB,4200000000,47000,2100,5,monday.com | Official Site | Enterprise Work OS,Trusted by 225K+ organisations. Start your free enterprise trial today.,High-intent brand keywords UK,Target CPA
2025-01-07,G-8811,GSN-EMEA-Brand-Evergreen,SEARCH,GB,3890000000,43500,1950,4,monday.com | Official Site | Enterprise Work OS,Trusted by 225K+ organisations. Start your free enterprise trial today.,High-intent brand keywords UK,Target CPA
2025-01-06,G-8812,GSN-EMEA-NonBrand-PMSoftware,SEARCH,DE,5600000000,79000,1185,3,Projektmanagement Software 2025 | Kostenlose Testversion,KI-gesteuerte Workflows. SOC2-konform. DSGVO-konform.,enterprise projektmanagement; collaboration platform; work OS,Maximize Conversions
2025-01-06,G-8821,GDN-NA-Retargeting-TrialNurture,DISPLAY,US,6200000000,520000,3100,3,You explored monday.com,Ready to see it in action? Book a personalized enterprise demo.,Site visitors 30d; pricing page visitors; exclude customers,Target CPA
2025-01-07,G-8821,GDN-NA-Retargeting-TrialNurture,DISPLAY,US,5800000000,486000,2900,2,You explored monday.com,Ready to see it in action? Book a personalized enterprise demo.,Site visitors 30d; pricing page visitors; exclude customers,Target CPA
2025-01-06,G-8822,GDN-EMEA-Prospecting-Lookalike,DISPLAY,GB,3100000000,260000,1550,1,Enterprise teams manage 10M+ tasks weekly,Discover why on monday.com,Lookalike 2% EMEA enterprise trials; premium publishers,Target CPA
2025-01-06,G-8831,YT-NA-Awareness-CaseStudy-Q1,VIDEO,US,9500000000,420000,6300,2,See how Canva consolidated 50+ tools into one Work OS,Watch the 90-second customer story.,In-market: project management; affinity: business tech adopters; 25-54,Max CPV
2025-01-07,G-8831,YT-NA-Awareness-CaseStudy-Q1,VIDEO,US,8800000000,390000,5850,1,See how Canva consolidated 50+ tools into one Work OS,Watch the 90-second customer story.,In-market: project management; affinity: business tech adopters; 25-54,Max CPV
2025-01-06,G-8832,YT-EMEA-Awareness-ProductDemo,VIDEO,GB,4800000000,210000,3150,1,monday.com in 60 seconds for enterprise teams,Plan track and deliver across departments and time zones.,In-market: project management; collaboration tools; 25-54; UK geo,Max CPV
2025-01-13,G-8801,GSN-NA-Brand-Evergreen,SEARCH,US,8100000000,91000,4025,8,monday.com | Official Site | Enterprise Work OS,Trusted by 225K+ organizations. Start your free enterprise trial today.,High-intent brand keywords,Target CPA
2025-01-13,G-8802,GSN-NA-NonBrand-PMSoftware,SEARCH,US,12200000000,172000,2580,4,Best Project Management Software 2025 | Free Trial,Enterprise-grade project management. AI-powered workflows. SOC2 compliant.,enterprise project management; work OS; team collaboration platform,Maximize Conversions
2025-01-13,G-8811,GSN-EMEA-Brand-Evergreen,SEARCH,GB,4050000000,45200,2020,4,monday.com | Official Site | Enterprise Work OS,Trusted by 225K+ organisations. Start your free enterprise trial today.,High-intent brand keywords UK,Target CPA
