Date,Geography,Channel,Spend,Enterprise_Trials,Closed_Won,Campaign_Metadata
2025-01-06,NA,LinkedIn Ads,42500,18,3,"[Campaign: LI-NA-Enterprise-ABM-Q1] [Copy: Streamline your workflows with AI-powered project management. Trusted by 225K+ organizations worldwide. Start your enterprise trial today.] [Audience: VP/Director Operations & IT, 500+ employees, SaaS/Tech/Finance verticals, ABM target account list]"
2025-01-06,NA,Google Search,31200,24,5,"[Campaign: GSN-NA-Brand+Generic-Evergreen] [Copy: Best Project Management Software for Enterprise | Free Trial | monday.com] [Audience: High-intent keywords: enterprise project management, work OS, team collaboration platform, monday.com alternative]"
2025-01-06,NA,Google Display,18900,6,1,"[Campaign: GDN-NA-Retargeting-TrialNurture] [Copy: You explored monday.com — ready to see it in action? Book a personalized demo with our enterprise team.] [Audience: Site visitors last 30d, visited pricing/enterprise pages, excluded current customers, lookalike 1% seed from closed-won]"
2025-01-06,NA,YouTube,22000,4,0,"[Campaign: YT-NA-Awareness-CaseStudy-Q1] [Copy: See how Canva consolidated 50+ tools into one Work OS. Watch the 90-second customer story.] [Audience: In-market: project management software, affinity: business technology adopters, 25-54 age range, skippable in-stream]"
2025-01-06,NA,Content Syndication,15800,9,2,"[Campaign: CS-NA-Whitepaper-AIWorkflows] [Copy: Download: The 2025 Guide to AI-Powered Workflow Automation — how leading enterprises cut project delivery time by 37%.] [Audience: Director+ titles, 1000+ employees, IT/Ops/PMO functions, cost-per-lead model via TechTarget + Bombora intent signals]"
2025-01-06,EMEA,LinkedIn Ads,28700,11,2,"[Campaign: LI-EMEA-Enterprise-ABM-Q1] [Copy: Verwalten Sie Ihre Projekte mit KI-gestuetzter Automatisierung. Ueber 225.000 Unternehmen vertrauen uns. Jetzt Enterprise-Test starten.] [Audience: VP/Director Operations & IT, 500+ employees, DACH+UK+Nordics, ABM target list, language-localized]"
2025-01-06,EMEA,Google Search,19400,14,3,"[Campaign: GSN-EMEA-Brand+Generic-Evergreen] [Copy: Enterprise Project Management Platform | GDPR Compliant | monday.com] [Audience: High-intent keywords: enterprise projektmanagement, work OS platform, monday.com pricing, localized UK/DE/FR/NL queries]"
2025-01-06,EMEA,Google Display,11200,3,0,"[Campaign: GDN-EMEA-Prospecting-Lookalike] [Copy: Enterprise teams across Europe manage 10M+ tasks on monday.com every week. Discover why.] [Audience: Lookalike 2% from EMEA enterprise trials, exclude current customers, premium placements: FT.com, Handelsblatt, business publishers]"
2025-01-06,EMEA,YouTube,14500,2,0,"[Campaign: YT-EMEA-Awareness-ProductDemo-Q1] [Copy: monday.com in 60 seconds — see how enterprise teams plan, track, and deliver projects across departments and time zones.] [Audience: In-market: project management, collaboration tools, custom intent: enterprise work management, 25-54, UK+DE+FR geo-targets]"
2025-01-06,EMEA,Content Syndication,9800,5,1,"[Campaign: CS-EMEA-Whitepaper-DigitalTransformation] [Copy: Download: Digital Transformation Playbook for European Enterprises — aligning IT, PMO, and Operations on a single platform.] [Audience: Director+ IT/Ops/PMO, 1000+ employees, EMEA HQ, GDPR-compliant lead capture, intent: digital transformation + project management]"
