Channel,Current $/wk,Current %,Optimized $/wk,Optimized %,Delta $,Delta %,Marginal ROI,Saturated
Google Non-Brand,253868.8511830986,41.377880003727626,520088.84375,52.008886812916046,266219.9925669014,104.8651661384343,0.0001814796518106681,False
Facebook,78437.51030985915,12.78446676016855,161525.109375,16.152511694648826,83087.59906514085,105.92839922748875,7.07412289987937e-05,False
Affiliates,70074.64890140845,11.421410700970865,79332.8203125,7.933282403122534,9258.171411091549,13.21186985055896,3.5419718914364496e-05,False
YouTube,63762.967408450706,10.39267480753511,72078.6328125,7.207863619118535,8315.665404049294,13.041528244411488,5.458345039104631e-05,False
Google Brand,36180.66509859155,5.897057523708705,40897.01953125,4.089702144829747,4716.354432658452,13.03556587421813,4.226951273810415e-05,False
LinkedIn,29244.265070422534,4.76649925834504,33153.01953125,3.315302108529753,3908.7544608274657,13.365883708869191,7.296126257802567e-06,False
Bing,28879.654338028166,4.707071648133009,32724.607421875,3.2724608955840715,3844.9530838468345,13.313708809812672,2.1149403423270054e-05,False
Display,15084.34746478873,2.458585669032699,17102.234375,1.7102235176667102,2017.8869102112694,13.377356328606647,1.3054193563096038e-05,False
CTV,13228.267605633802,2.1560647046389336,14997.2353515625,1.499723605455779,1768.9677459286977,13.372633504737783,1.106878467352105e-05,False
Review Sites,8806.814450704225,1.435415608721179,9988.4326171875,0.9988433085395201,1181.6181664832748,13.417089381137654,2.177514990021739e-06,False
Podcast,6190.6610422535205,1.0090108674473384,7020.755859375,0.7020756188472875,830.0948171214795,13.408823572384899,8.762687008606986e-06,False
Reddit,6029.47047887324,0.9827385470811344,6838.009765625,0.6838010086156654,808.5392867517603,13.409789293827268,1.0280570747377738e-05,False
Google Shopping,3749.474901408451,0.6111239004881754,4253.232421875,0.42532326212452365,503.75752046654907,13.43541519043038,-4.199508893447618e-07,True
